Itemset,Frequency
"butter, wine",244
"butter, yolk",19
"liver, mushrooms",1
"liver, onion",3
"liver, pastry",1
"liver, pepper",3
"liver, tenderloin",1
"liver, wine",1
"liver, yolk",1
"mushrooms, onion",429
"mushrooms, pastry",6
"mushrooms, pepper",570
"mushrooms, tenderloin",4
"mushrooms, wine",133
"mushrooms, yolk",4
"onion, pastry",10
"onion, tenderloin",11
"onion, wine",283
"onion, yolk",10
"pastry, pepper",19
"pastry, tenderloin",1
"pastry, wine",1
"pastry, yolk",2
"pepper, tenderloin",29
"pepper, wine",428
"pepper, yolk",16
"tenderloin, wine",6
"tenderloin, yolk",1
"wine, yolk",3
"beer, cloves",14
"beer, spice",6
"beer, water",13
"cloves, spice",20
"cloves, water",424
"spice, water",29
"beef, cream",59
"beef, noodles",41
"beef, soup",57
"cream, noodles",46
"cream, pepper",661
"cream, soup",70
"noodles, pepper",193
"noodles, soup",35
"pepper, soup",226
"bacon, beef",23
"bacon, carrots",33
"bacon, celery",70
"bacon, cloves",65
"bacon, guinness",2
"bacon, onions",76
"bacon, paste",6
"bacon, pepper",311
"bacon, potatoes",94
"bacon, salt",156
"bacon, stock",30
"bacon, sugar",74
"bacon, thyme",29
"beef, celery",64
"beef, cloves",112
"beef, guinness",1
"beef, paste",34
"beef, potatoes",68
"beef, stock",15
"beef, sugar",113
"beef, thyme",35
"carrots, celery",359
"carrots, cloves",215
"carrots, guinness",5
"carrots, paste",30
"carrots, pepper",631
"carrots, stock",78
"carrots, sugar",120
"carrots, thyme",137
"celery, cloves",181
"celery, guinness",3
"celery, onions",162
"celery, paste",21
"celery, pepper",773
"celery, potatoes",186
"celery, salt",412
"celery, stock",97
"celery, sugar",109
"celery, thyme",161
"cloves, guinness",6
"cloves, onions",216
"cloves, paste",84
"cloves, pepper",1154
"cloves, potatoes",185
"cloves, salt",737
"cloves, stock",103
"cloves, sugar",310
"cloves, thyme",169
"guinness, onions",4
"guinness, paste",1
"guinness, pepper",7
"guinness, potatoes",8
"guinness, salt",5
"guinness, stock",4
"guinness, sugar",6
"guinness, thyme",4
"onions, paste",55
"onions, pepper",703
"onions, potatoes",145
"onions, stock",63
"onions, sugar",231
"onions, thyme",91
"paste, pepper",168
"paste, potatoes",31
"paste, salt",123
"paste, stock",20
"paste, sugar",100
"paste, thyme",10
"pepper, potatoes",776
"pepper, stock",318
"pepper, thyme",508
"potatoes, salt",481
"potatoes, stock",61
"potatoes, sugar",122
"potatoes, thyme",98
"salt, stock",175
"salt, thyme",313
"stock, sugar",55
"stock, thyme",70
"sugar, thyme",78
"bones, cloves",5
"bones, onions",4
"bones, oxtail",1
"bones, peppercorns",2
"bones, pods",1
"bones, radish",1
"bones, root",1
"bones, salt",13
"bones, sauce",6
"bones, stick",1
"bones, sugar",8
"bones, water",14
"cloves, oxtail",3
"cloves, peppercorns",32
"cloves, pods",10
"cloves, radish",2
"cloves, root",79
"cloves, sauce",344
"cloves, stick",15
"onions, oxtail",1
"onions, pods",8
"onions, radish",1
"onions, root",56
"onions, sauce",266
"onions, stick",4
"onions, water",303
"oxtail, peppercorns",1
"oxtail, pods",1
"oxtail, radish",1
"oxtail, root",2
"oxtail, salt",2
"oxtail, sauce",2
"oxtail, stick",2
"oxtail, sugar",2
"oxtail, water",3
"peppercorns, pods",4
"peppercorns, radish",1
"peppercorns, root",3
"peppercorns, sauce",13
"peppercorns, stick",7
"peppercorns, sugar",28
"peppercorns, water",47
"pods, radish",1
"pods, root",3
"pods, salt",11
"pods, sauce",8
"pods, stick",6
"pods, sugar",10
"pods, water",14
"radish, root",1
"radish, salt",7
"radish, sauce",8
"radish, stick",1
"radish, sugar",7
"radish, water",7
"root, salt",86
"root, sauce",107
"root, stick",7
"root, sugar",89
"root, water",81
"salt, stick",18
"salt, water",1080
"sauce, stick",5
"sauce, water",434
"stick, sugar",11
"stick, water",14
"sugar, water",573
"bouillon, cheese",47
"bouillon, chives",2
"bouillon, cloves",40
"bouillon, cornstarch",11
"bouillon, cream",32
"bouillon, flour",47
"bouillon, meat",17
"bouillon, mushrooms",23
"bouillon, onion",143
"bouillon, parsley",27
"bouillon, pepper",153
"bouillon, sauce",23
"bouillon, soup",12
"bouillon, water",164
"bouillon, wine",15
"cheese, chives",64
"cheese, cloves",379
"cheese, cornstarch",36
"cheese, cream",478
"cheese, flour",372
"cheese, meat",48
"cheese, mushrooms",300
"cheese, onion",1174
"cheese, parsley",390
"cheese, pepper",1682
"cheese, sauce",336
"cheese, soup",189
"cheese, water",376
"cheese, wine",140
"chives, cloves",19
"chives, cornstarch",7
"chives, cream",40
"chives, flour",20
"chives, meat",2
"chives, mushrooms",14
"chives, onion",46
"chives, parsley",30
"chives, pepper",116
"chives, sauce",16
"chives, soup",5
"chives, water",24
"chives, wine",11
"cloves, cornstarch",74
"cloves, cream",137
"cloves, flour",160
"cloves, meat",33
"cloves, mushrooms",172
"cloves, onion",831
"cloves, parsley",249
"cloves, soup",26
"cloves, wine",204
"cornstarch, cream",22
"cornstarch, flour",44
"cornstarch, meat",18
"cornstarch, mushrooms",59
"cornstarch, onion",142
"cornstarch, parsley",22
"cornstarch, pepper",206
"cornstarch, sauce",147
"cornstarch, soup",6
"cornstarch, water",207
"cornstarch, wine",49
"cream, flour",191
"cream, meat",25
"cream, mushrooms",126
"cream, onion",442
"cream, parsley",124
"cream, sauce",80
"cream, water",134
"cream, wine",75
"flour, meat",56
"flour, mushrooms",140
"flour, onion",497
"flour, parsley",149
"flour, pepper",791
"flour, sauce",123
"flour, soup",29
"flour, water",329
"flour, wine",102
"meat, mushrooms",32
"meat, onion",142
"meat, parsley",34
"meat, pepper",161
"meat, sauce",40
"meat, soup",22
"meat, water",80
"meat, wine",25
"mushrooms, parsley",116
"mushrooms, sauce",150
"mushrooms, soup",60
"mushrooms, water",188
"onion, soup",205
"onion, water",1165
"parsley, sauce",135
"parsley, soup",33
"parsley, water",239
"pepper, water",1355
"sauce, soup",33
"sauce, wine",101
"soup, water",124
"soup, wine",24
"water, wine",147
"beef, tomatoes",152
"beef, vegetables",19
"onion, tomatoes",774
"onion, vegetables",46
"pepper, tomatoes",877
"pepper, vegetables",50
"salt, tomatoes",512
"salt, vegetables",24
"tomatoes, vegetables",21
"pepper, temperature",35
"salt, temperature",32
"beef, bread",15
"beef, flour",41
"beef, milk",46
"bread, butter",69
"bread, flour",13
"bread, milk",26
"bread, pepper",96
"butter, flour",696
"butter, milk",580
"flour, milk",501
"milk, pepper",657
"carrots, florets",36
"carrots, matchsticks",5
"carrots, oil",452
"carrots, onion",565
"carrots, seeds",21
"carrots, soy",36
"carrots, strips",23
"florets, garlic",58
"florets, matchsticks",4
"florets, oil",149
"florets, onion",103
"florets, seeds",9
"florets, soy",17
"florets, strips",16
"garlic, matchsticks",9
"garlic, oil",1051
"garlic, onion",885
"garlic, seeds",72
"garlic, soy",79
"garlic, strips",51
"matchsticks, oil",23
"matchsticks, onion",12
"matchsticks, seeds",5
"matchsticks, soy",5
"matchsticks, strips",7
"oil, seeds",199
"oil, soy",200
"oil, strips",189
"onion, seeds",119
"onion, soy",102
"onion, strips",103
"seeds, soy",29
"seeds, strips",21
"soy, strips",20
"garlic, pepper",1223
"garlic, steak",20
"garlic, sugar",292
"oil, steak",37
"oil, sugar",865
"onion, steak",28
"pepper, seeds",139
"pepper, soy",148
"pepper, steak",37
"seeds, steak",6
"seeds, sugar",117
"soy, steak",6
"soy, sugar",130
"steak, sugar",22
"bouquet, brisket",1
"bouquet, cloves",1
"bouquet, oil",2
"bouquet, onion",2
"bouquet, water",1
"brisket, cloves",6
"brisket, oil",11
"brisket, onion",21
"brisket, water",14
"cloves, oil",1066
"oil, water",1136
"bacon, mustard",42
"bacon, oil",116
"bacon, paprika",29
"bacon, rings",2
"bacon, round",1
"bacon, spears",1
"mustard, oil",241
"mustard, paprika",74
"mustard, pepper",422
"mustard, rings",4
"mustard, round",1
"mustard, salt",283
"mustard, spears",2
"oil, paprika",284
"oil, rings",54
"oil, round",3
"oil, spears",15
"paprika, rings",7
"paprika, round",1
"paprika, spears",1
"pepper, rings",54
"pepper, round",2
"pepper, spears",14
"rings, round",1
"rings, salt",41
"rings, spears",1
"round, salt",1
"round, spears",1
"salt, spears",7
"broth, chunks",62
"broth, cloves",414
"broth, cumin",181
"broth, juice",161
"broth, leaves",146
"broth, oil",791
"broth, sauce",199
"broth, vinegar",96
"chunks, cloves",69
"chunks, cumin",32
"chunks, juice",65
"chunks, leaves",27
"chunks, oil",187
"chunks, pepper",211
"chunks, sauce",64
"chunks, vinegar",47
"cloves, cumin",225
"cloves, juice",236
"cloves, leaves",162
"cloves, vinegar",192
"cumin, juice",127
"cumin, leaves",67
"cumin, oil",470
"cumin, pepper",558
"cumin, sauce",90
"cumin, vinegar",66
"juice, leaves",93
"juice, oil",659
"juice, pepper",790
"juice, sauce",240
"juice, vinegar",167
"leaves, sauce",90
"leaves, vinegar",85
"oil, sauce",854
"oil, vinegar",642
"pepper, vinegar",660
"sauce, vinegar",257
"cloves, rosemary",40
"cloves, tenderloin",6
"leaves, rosemary",11
"leaves, tenderloin",2
"oil, rosemary",95
"oil, tenderloin",27
"pepper, rosemary",104
"rosemary, salt",74
"rosemary, tenderloin",3
"salt, tenderloin",16
"cornstarch, florets",24
"cornstarch, garlic",102
"cornstarch, oil",262
"cornstarch, root",38
"cornstarch, sherry",16
"cornstarch, soy",67
"cornstarch, strips",44
"cornstarch, sugar",185
"florets, root",9
"florets, sauce",48
"florets, sherry",6
"florets, sugar",32
"garlic, root",72
"garlic, sauce",379
"garlic, sherry",25
"oil, root",163
"oil, sherry",51
"root, sherry",10
"root, soy",37
"root, strips",21
"sauce, sherry",23
"sauce, soy",77
"sauce, strips",88
"sherry, soy",12
"sherry, strips",1
"sherry, sugar",22
"strips, sugar",66
"beef, liquid",13
"beef, mushrooms",54
"beef, paprika",36
"beef, sauce",156
"butter, cream",453
"butter, liquid",16
"butter, paprika",138
"butter, sauce",225
"butter, soup",116
"cream, liquid",7
"cream, paprika",60
"cream, salt",415
"flour, liquid",9
"flour, paprika",94
"flour, salt",852
"liquid, mushrooms",2
"liquid, onion",49
"liquid, paprika",8
"liquid, pepper",56
"liquid, salt",40
"liquid, sauce",14
"liquid, soup",3
"mushrooms, paprika",35
"mushrooms, salt",299
"paprika, soup",19
"salt, soup",111
"beer, butter",16
"beer, flour",32
"beer, garlic",13
"beer, oil",32
"beer, onion",33
"beer, pepper",44
"beer, ribs",3
"beer, salt",35
"beer, stock",5
"butter, garlic",384
"butter, ribs",14
"butter, stock",142
"flour, garlic",149
"flour, oil",602
"flour, ribs",13
"flour, stock",80
"garlic, ribs",25
"garlic, stock",108
"oil, ribs",47
"oil, stock",241
"onion, ribs",40
"onion, stock",259
"pepper, ribs",65
"ribs, salt",46
"ribs, stock",6
"basil, broth",121
"basil, butter",117
"basil, carrots",74
"basil, celery",77
"basil, cubes",23
"basil, flour",42
"basil, oil",389
"basil, onion",351
"basil, paprika",41
"basil, parsley",150
"basil, potatoes",48
"basil, salt",283
"basil, sauce",108
"basil, vinegar",64
"broth, carrots",317
"broth, celery",332
"broth, cubes",104
"broth, flour",269
"broth, paprika",97
"broth, parsley",227
"broth, potatoes",223
"broth, salt",621
"butter, carrots",213
"butter, celery",243
"butter, potatoes",390
"butter, vinegar",109
"carrots, cubes",62
"carrots, flour",162
"carrots, paprika",44
"carrots, sauce",141
"carrots, vinegar",83
"celery, cubes",65
"celery, flour",180
"celery, oil",380
"celery, onion",753
"celery, paprika",66
"celery, parsley",177
"celery, sauce",135
"celery, vinegar",80
"cubes, flour",54
"cubes, paprika",33
"cubes, potatoes",38
"cubes, sauce",71
"cubes, vinegar",53
"flour, potatoes",228
"flour, vinegar",57
"oil, potatoes",445
"onion, potatoes",568
"onion, vinegar",423
"paprika, parsley",91
"paprika, potatoes",83
"paprika, vinegar",61
"parsley, potatoes",141
"parsley, vinegar",89
"potatoes, sauce",75
"potatoes, vinegar",59
"salt, vinegar",535
"meat, mix",20
"meat, oil",100
"meat, salt",79
"mix, oil",137
"mix, onion",165
"mix, pepper",170
"mix, salt",89
"mix, sauce",60
"mix, water",133
"chunks, cilantro",23
"chunks, masala",3
"chunks, onions",46
"chunks, paprika",17
"chunks, paste",14
"chunks, pods",1
"chunks, salt",121
"chunks, seeds",9
"chunks, stick",2
"chunks, tomato",25
"chunks, turmeric",9
"cilantro, cloves",145
"cilantro, leaves",31
"cilantro, masala",23
"cilantro, oil",389
"cilantro, onions",128
"cilantro, paprika",41
"cilantro, paste",50
"cilantro, pepper",427
"cilantro, pods",1
"cilantro, salt",293
"cilantro, seeds",36
"cilantro, stick",5
"cilantro, tomato",54
"cilantro, turmeric",46
"cloves, masala",17
"cloves, paprika",112
"cloves, seeds",71
"cloves, tomato",143
"cloves, turmeric",63
"leaves, masala",6
"leaves, onions",80
"leaves, paprika",48
"leaves, paste",40
"leaves, pods",7
"leaves, seeds",29
"leaves, stick",10
"leaves, tomato",64
"leaves, turmeric",30
"masala, oil",48
"masala, onions",8
"masala, paprika",10
"masala, paste",20
"masala, pepper",37
"masala, pods",2
"masala, salt",47
"masala, seeds",10
"masala, stick",3
"masala, tomato",10
"masala, turmeric",33
"oil, onions",592
"oil, paste",189
"oil, pods",15
"oil, stick",14
"oil, tomato",309
"oil, turmeric",153
"onions, paprika",68
"onions, seeds",57
"onions, tomato",75
"onions, turmeric",28
"paprika, paste",23
"paprika, pods",1
"paprika, seeds",22
"paprika, stick",3
"paprika, tomato",49
"paprika, turmeric",26
"paste, pods",7
"paste, seeds",27
"paste, stick",4
"paste, tomato",20
"paste, turmeric",30
"pepper, pods",11
"pepper, stick",14
"pepper, tomato",401
"pepper, turmeric",128
"pods, seeds",8
"pods, tomato",1
"pods, turmeric",6
"salt, seeds",144
"salt, tomato",276
"salt, turmeric",135
"seeds, stick",9
"seeds, tomato",16
"seeds, turmeric",36
"stick, tomato",1
"stick, turmeric",11
"tomato, turmeric",19
"coriander, cumin",116
"coriander, fat",3
"coriander, flakes",21
"coriander, juice",26
"coriander, masala",17
"coriander, oil",122
"coriander, paste",17
"coriander, pepper",135
"coriander, salt",111
"coriander, turmeric",59
"coriander, yogurt",9
"cumin, fat",4
"cumin, flakes",67
"cumin, masala",26
"cumin, paste",40
"cumin, salt",436
"cumin, turmeric",78
"cumin, yogurt",23
"fat, flakes",3
"fat, juice",3
"fat, masala",1
"fat, oil",12
"fat, paste",2
"fat, pepper",21
"fat, salt",20
"fat, turmeric",3
"fat, yogurt",1
"flakes, juice",106
"flakes, masala",6
"flakes, oil",403
"flakes, paste",25
"flakes, pepper",414
"flakes, salt",285
"flakes, turmeric",17
"flakes, yogurt",10
"juice, masala",10
"juice, paste",54
"juice, salt",598
"juice, turmeric",26
"juice, yogurt",42
"masala, yogurt",13
"oil, yogurt",55
"paste, yogurt",14
"pepper, yogurt",78
"salt, yogurt",59
"turmeric, yogurt",11
"chickpeas, chunks",2
"chickpeas, cilantro",7
"chickpeas, coriander",7
"chickpeas, cumin",15
"chickpeas, drumsticks",1
"chickpeas, fat",1
"chickpeas, hanout",2
"chickpeas, oil",25
"chickpeas, onions",6
"chickpeas, pepper",24
"chickpeas, tomato",5
"chickpeas, turmeric",4
"chickpeas, water",13
"chunks, coriander",6
"chunks, drumsticks",3
"chunks, fat",2
"chunks, hanout",2
"chunks, water",85
"cilantro, coriander",35
"cilantro, cumin",181
"cilantro, drumsticks",2
"cilantro, fat",2
"cilantro, hanout",1
"cilantro, water",145
"coriander, drumsticks",1
"coriander, hanout",1
"coriander, onions",23
"coriander, tomato",19
"coriander, water",53
"cumin, drumsticks",3
"cumin, hanout",1
"cumin, onions",82
"cumin, tomato",87
"cumin, water",195
"drumsticks, fat",1
"drumsticks, hanout",1
"drumsticks, oil",8
"drumsticks, onions",6
"drumsticks, pepper",11
"drumsticks, tomato",3
"drumsticks, turmeric",1
"drumsticks, water",4
"fat, hanout",1
"fat, onions",2
"fat, tomato",3
"fat, water",5
"hanout, oil",2
"hanout, onions",1
"hanout, pepper",1
"hanout, tomato",1
"hanout, turmeric",1
"hanout, water",1
"tomato, water",179
"turmeric, water",79
"almonds, chunks",6
"almonds, cinnamon",9
"almonds, cubes",6
"almonds, cumin",7
"almonds, ginger",8
"almonds, oil",53
"almonds, pepper",60
"almonds, raisins",11
"almonds, rings",2
"almonds, salt",46
"almonds, seed",2
"chunks, cinnamon",15
"chunks, cubes",32
"chunks, ginger",18
"chunks, raisins",4
"chunks, rings",9
"chunks, seed",2
"cinnamon, cubes",18
"cinnamon, cumin",100
"cinnamon, ginger",79
"cinnamon, oil",203
"cinnamon, pepper",186
"cinnamon, raisins",37
"cinnamon, rings",5
"cinnamon, salt",253
"cinnamon, seed",5
"cubes, cumin",47
"cubes, ginger",31
"cubes, raisins",4
"cubes, rings",4
"cubes, seed",6
"cumin, ginger",60
"cumin, raisins",10
"cumin, rings",7
"cumin, seed",14
"ginger, oil",281
"ginger, pepper",234
"ginger, raisins",13
"ginger, rings",6
"ginger, salt",196
"ginger, seed",10
"oil, raisins",36
"oil, seed",45
"pepper, raisins",36
"pepper, seed",78
"raisins, rings",2
"raisins, salt",54
"raisins, seed",1
"rings, seed",6
"salt, seed",75
"almonds, cayenne",1
"almonds, cilantro",10
"almonds, coconut",2
"almonds, garlic",19
"almonds, jwala",1
"almonds, masala",3
"almonds, onions",13
"almonds, root",4
"almonds, seeds",8
"almonds, threads",1
"almonds, tomatoes",4
"almonds, turmeric",8
"almonds, yogurt",4
"cayenne, cilantro",2
"cayenne, coconut",1
"cayenne, cubes",1
"cayenne, garlic",4
"cayenne, jwala",1
"cayenne, masala",1
"cayenne, oil",6
"cayenne, onions",2
"cayenne, root",2
"cayenne, salt",4
"cayenne, seeds",2
"cayenne, threads",1
"cayenne, tomatoes",3
"cayenne, turmeric",3
"cayenne, yogurt",1
"cilantro, coconut",4
"cilantro, cubes",34
"cilantro, garlic",152
"cilantro, jwala",1
"cilantro, root",40
"cilantro, threads",2
"cilantro, tomatoes",146
"cilantro, yogurt",20
"coconut, cubes",4
"coconut, garlic",3
"coconut, jwala",1
"coconut, masala",1
"coconut, oil",19
"coconut, onions",3
"coconut, root",1
"coconut, salt",23
"coconut, seeds",3
"coconut, threads",1
"coconut, tomatoes",4
"coconut, turmeric",2
"coconut, yogurt",3
"cubes, garlic",61
"cubes, jwala",1
"cubes, masala",5
"cubes, onions",54
"cubes, root",10
"cubes, seeds",12
"cubes, threads",1
"cubes, tomatoes",64
"cubes, turmeric",15
"cubes, yogurt",8
"garlic, jwala",1
"garlic, masala",17
"garlic, threads",2
"garlic, tomatoes",281
"garlic, turmeric",44
"garlic, yogurt",23
"jwala, masala",1
"jwala, oil",1
"jwala, onions",1
"jwala, root",1
"jwala, salt",1
"jwala, seeds",1
"jwala, threads",1
"jwala, tomatoes",1
"jwala, turmeric",1
"jwala, yogurt",1
"masala, root",7
"masala, threads",1
"masala, tomatoes",18
"oil, threads",13
"oil, tomatoes",696
"onions, threads",1
"onions, tomatoes",164
"onions, yogurt",15
"root, seeds",28
"root, threads",1
"root, tomatoes",23
"root, turmeric",28
"root, yogurt",6
"salt, threads",8
"seeds, threads",2
"seeds, tomatoes",28
"seeds, yogurt",4
"threads, tomatoes",3
"threads, turmeric",3
"threads, yogurt",1
"tomatoes, turmeric",50
"tomatoes, yogurt",15
"butter, cinnamon",138
"butter, egg",144
"butter, mincemeat",1
"butter, sugar",489
"butter, water",432
"butter, zest",67
"cinnamon, egg",35
"cinnamon, flour",125
"cinnamon, mincemeat",1
"cinnamon, sugar",254
"cinnamon, water",103
"cinnamon, zest",14
"egg, flour",197
"egg, mincemeat",1
"egg, sugar",143
"egg, water",122
"egg, zest",21
"flour, mincemeat",1
"flour, sugar",433
"flour, zest",35
"mincemeat, sugar",1
"mincemeat, water",1
"mincemeat, zest",1
"sugar, zest",60
"water, zest",31
"allspice, cinnamon",48
"allspice, cloves",35
"allspice, ginger",27
"allspice, nutmeg",31
"cinnamon, cloves",119
"cinnamon, nutmeg",121
"cloves, ginger",142
"cloves, nutmeg",69
"ginger, nutmeg",48
"beef, curry",7
"beef, egg",73
"beef, raisins",4
"beef, turmeric",7
"beef, vinegar",40
"bread, curry",2
"bread, egg",14
"bread, leaves",15
"bread, oil",54
"bread, onion",54
"bread, raisins",6
"bread, salt",57
"bread, sugar",22
"bread, turmeric",3
"bread, vinegar",15
"curry, egg",4
"curry, leaves",9
"curry, milk",27
"curry, oil",82
"curry, onion",93
"curry, pepper",103
"curry, raisins",10
"curry, salt",67
"curry, sugar",29
"curry, turmeric",30
"curry, vinegar",11
"egg, leaves",20
"egg, milk",138
"egg, oil",278
"egg, onion",226
"egg, pepper",329
"egg, raisins",11
"egg, salt",322
"egg, turmeric",3
"egg, vinegar",36
"leaves, milk",34
"leaves, raisins",2
"leaves, sugar",103
"milk, oil",346
"milk, onion",458
"milk, raisins",14
"milk, salt",559
"milk, sugar",256
"milk, turmeric",23
"milk, vinegar",30
"onion, raisins",25
"onion, turmeric",116
"raisins, sugar",68
"raisins, turmeric",8
"raisins, vinegar",16
"sugar, turmeric",31
"sugar, vinegar",479
"turmeric, vinegar",17
"cubes, peppers",21
"cubes, rosemary",13
"cubes, thyme",41
"oil, peppers",238
"oil, thyme",316
"onion, peppers",278
"onion, rosemary",53
"onion, thyme",345
"pepper, peppers",308
"peppers, rosemary",2
"peppers, thyme",18
"peppers, vinegar",49
"rosemary, thyme",44
"rosemary, vinegar",20
"thyme, vinegar",49
"beet, carrots",1
"beet, chickpeas",1
"beet, cloves",1
"beet, greens",1
"beet, leaves",1
"beet, oil",1
"beet, onion",1
"beet, pepper",1
"beet, potatoes",1
"beet, wine",1
"carrots, chickpeas",6
"carrots, greens",2
"carrots, leaves",98
"chickpeas, cloves",11
"chickpeas, greens",1
"chickpeas, leaves",5
"chickpeas, onion",22
"chickpeas, potatoes",5
"chickpeas, wine",1
"cloves, greens",7
"greens, leaves",3
"greens, oil",28
"greens, onion",18
"greens, pepper",24
"greens, potatoes",4
"greens, wine",2
"leaves, potatoes",77
"leaves, wine",68
"oil, wine",369
"potatoes, wine",48
"breast, broth",32
"breast, cornstarch",7
"breast, florets",2
"breast, oil",44
"breast, onions",14
"breast, rounds",1
"breast, sherry",2
"breast, soy",1
"breast, squares",1
"broth, cornstarch",108
"broth, florets",53
"broth, onions",200
"broth, rounds",10
"broth, sherry",42
"broth, soy",53
"broth, squares",3
"cornstarch, onions",68
"cornstarch, rounds",1
"cornstarch, squares",3
"florets, onions",26
"florets, rounds",1
"florets, squares",1
"oil, rounds",35
"oil, squares",12
"onions, rounds",11
"onions, sherry",18
"onions, soy",76
"onions, squares",4
"rounds, sherry",1
"rounds, soy",2
"rounds, squares",1
"sherry, squares",1
"soy, squares",2
"carrots, eggplant",3
"carrots, juice",89
"carrots, tomatoes",141
"carrots, zest",9
"carrots, zucchini",51
"cloves, eggplant",4
"cloves, tomatoes",314
"cloves, zest",40
"cloves, zucchini",55
"eggplant, juice",3
"eggplant, leaves",1
"eggplant, oil",14
"eggplant, onions",2
"eggplant, pepper",11
"eggplant, thyme",1
"eggplant, tomatoes",5
"eggplant, zest",2
"eggplant, zucchini",6
"juice, onions",154
"juice, thyme",74
"juice, tomatoes",155
"juice, zest",102
"juice, zucchini",27
"leaves, thyme",99
"leaves, tomatoes",126
"leaves, zest",24
"leaves, zucchini",22
"oil, zest",112
"oil, zucchini",174
"onions, zest",13
"onions, zucchini",29
"pepper, zest",126
"pepper, zucchini",177
"thyme, tomatoes",78
"thyme, zest",21
"thyme, zucchini",9
"tomatoes, zest",19
"tomatoes, zucchini",62
"zest, zucchini",6
"beer, chunks",3
"beer, leaf",3
"beer, mushrooms",7
"beer, mustard",10
"beer, paste",5
"beer, pot",1
"beer, sugar",19
"beer, thyme",8
"chunks, flour",30
"chunks, leaf",14
"chunks, mushrooms",27
"chunks, mustard",20
"chunks, onion",133
"chunks, pot",2
"chunks, stock",21
"chunks, sugar",76
"chunks, thyme",30
"cloves, leaf",90
"cloves, mustard",74
"cloves, pot",3
"flour, leaf",43
"flour, mustard",66
"flour, paste",18
"flour, pot",2
"flour, thyme",117
"leaf, mushrooms",25
"leaf, mustard",8
"leaf, oil",132
"leaf, onion",176
"leaf, paste",13
"leaf, pepper",203
"leaf, pot",1
"leaf, stock",30
"leaf, sugar",43
"leaf, thyme",83
"mushrooms, mustard",32
"mushrooms, oil",412
"mushrooms, paste",38
"mushrooms, pot",2
"mushrooms, stock",49
"mushrooms, sugar",84
"mushrooms, thyme",80
"mustard, onion",250
"mustard, paste",8
"mustard, pot",2
"mustard, stock",13
"mustard, sugar",188
"mustard, thyme",47
"oil, pot",3
"onion, paste",127
"onion, pot",4
"paste, pot",2
"pepper, pot",4
"pot, stock",1
"pot, sugar",1
"pot, thyme",2
"apples, butter",44
"apples, carrots",7
"apples, chicken",1
"apples, flakes",2
"apples, garlic",11
"apples, ginger",10
"apples, honey",6
"apples, mushrooms",2
"apples, mustard",9
"apples, onion",34
"apples, potatoes",17
"apples, salt",40
"butter, chicken",47
"butter, flakes",120
