Itemset,Frequency
cajun,14
stalk,22
juices,8
into,1
mussels,40
cocktail,23
fennel,7
liquor,3
frank,6
drumettes,3
kraft,3
sections,5
hot,3
dashes,2
gin,1
swan,1
a,6
dates,8
thickness,12
cartilage,3
master,2
season,3
timer,1
mccormick,6
gravy,16
flavor,5
roadhouse,1
clementine,1
goose,1
adobo,12
consomme,11
saba,1
porter,1
rosewater,1
tamarind,9
kashmiri,1
shank,3
arrowroot,5
bragg,7
fresh,3
magic,2
gnocchi,12
sunflower,2
cap,2
mozzarella,7
mushroom,6
pickles,28
assortment,2
pimentos,8
plum,6
cheek,1
taco,20
light,2
roll,2
link,6
ravioli,4
kimchi,7
cheong,1
spam,8
chop,3
tail,6
peeler,2
pancetta,9
blanc,1
chilaca,1
marrow,1
scallions,44
pepperoncini,5
pete,2
soybeans,6
turnips,10
chunky,8
base,28
meal,13
liner,4
sofrito,6
tapioca,5
sirloin,14
kielbasa,5
sauerkraut,14
compote,1
blade,1
jicama,9
tilapia,7
flounder,3
classico,1
orzo,5
chardonnay,3
grass,16
galangal,4
mountain,2
ploy,1
niblets,2
bran,2
tidbits,11
kiwis,5
nectarine,2
cereal,14
hazelnuts,8
reserve,1
watermelons,1
rhubarb,5
pudding,3
kefir,1
tea,1
germ,12
life,1
wedge,2
chayotes,1
buds,3
farfalle,4
philadelphia,3
recipe,5
rinds,5
lemongrass,15
tip,2
note,4
hour,1
lawry,4
enoki,1
mirin,6
hours,1
farms,2
doenjang,2
zatarain,2
dominoes,1
buddig,1
enchilada,22
jar,18
hotness,1
choice,11
french,5
glen,1
roni,3
sazon,6
spread,9
cookers,1
fries,3
dubliner,2
dish,3
hash,1
farm,2
fritos,2
paso,5
cavender,5
pace,2
original,3
rump,5
grain,9
adolph,1
boneless,4
baguette,8
free,6
medley,4
ramen,3
maggi,2
bok,2
aminos,4
annatto,5
discs,2
pimientos,3
green,3
eighths,7
flank,1
tots,9
lipton,7
matchstick,2
hunt,3
millet,2
filet,2
chianti,2
oz,1
salute,1
rib,13
tropical,1
strands,4
gallo,4
layer,1
fruit,3
aurora,1
roux,2
calvados,1
bias,7
craisins,9
roasts,1
agria,1
criollo,1
togarashi,1
plantain,1
yautias,1
s,5
amount,6
suet,1
vay,1
grape,16
jelly,5
breadcrumbs,7
bison,4
tongue,1
minutes,8
modelo,1
bagel,4
cassava,1
substitute,12
seasonings,4
dashida,1
kochujang,1
nori,4
portions,3
loquat,1
tomatillos,5
gelatin,7
idahoan,1
skins,5
belly,7
island,4
doritos,5
pillsbury,3
quail,1
cm,2
chorizo,5
callender,1
creole,10
pinches,4
eggplants,3
barberries,1
freekeh,2
log,2
boursin,5
lobster,1
cannellini,5
minute,8
ben,5
goya,8
rectangles,2
pured,1
edamame,1
rutabagas,2
aidells,2
aidellsr,1
isernio,1
containers,1
hunts,2
prego,3
section,1
dal,3
floret,1
tvp,2
sorghum,1
starter,2
vermicelli,7
manis,2
sumac,3
tahini,11
heads,5
rutabaga,8
protein,5
medium,2
layers,1
palm,3
mexico,4
walla,1
roun,1
game,1
walnut,2
hines,1
nilla,1
jerk,3
medallions,3
chipotle,12
mace,7
mesquite,2
foods,2
spoon,1
paper,9
home,1
stem,2
skillet,1
bottle,2
membrane,4
pliers,2
summer,3
alfredo,4
wasabi,7
combination,2
olive,1
turbodog,1
pla,1
gloves,3
gold,3
pistachios,3
brown,2
vermouth,6
poupon,3
towel,2
bellas,1
grigio,3
bowls,1
crisco,1
ears,2
sauvignon,2
marinade,7
picnic,1
bottoms,3
fage,2
footnote,1
matcha,2
eggnog,1
sichuan,2
assembly,1
request,3
verde,8
spaghettini,1
caesar,2
sangiovese,1
dashi,2
rao,1
garnish,3
gilbert,1
diameter,4
blossoms,4
fraiche,11
muffins,4
ortega,1
nests,1
nooodles,1
sprig,2
lily,1
farro,5
flowerets,1
variety,2
hp,1
lager,2
rigatoni,1
wash,1
guacamole,5
insides,1
slicer,1
scapes,4
crookneck,1
crisps,3
glory,1
flavoring,3
cutlets,9
press,2
skinless,1
flatbread,1
waffles,1
grains,1
chickens,3
cholula,1
bbq,1
vegetable,1
swanson,5
dip,3
box,2
farina,1
pulp,7
cognac,1
skewer,1
hill,1
pepperoni,9
anchovies,2
lb,1
squid,1
rest,1
zaatar,1
cheez,1
thigh,1
footnotes,1
stuffing,3
drumstick,1
tyson,1
queso,1
hellman,4
shape,1
slant,1
chook,1
roja,1
cuts,1
crema,1
turnip,5
klondike,1
scissors,1
kary,1
mama,1
rigati,1
giant,2
mandarin,1
franks,1
mochiko,4
hondashi,1
kombu,1
shirakiku,1
shoyu,1
days,1
sharp,1
blackberry,1
pancakes,1
djan,2
barilla,2
pomi,1
joe,5
merlot,1
company,1
coarsley,1
pitas,2
sheets,9
frozen,1
maria,1
fork,2
cotechino,1
nectarines,2
cortland,1
diamond,1
italpasta,1
nando,1
ray,2
sal,1
traditional,1
achiote,6
poblanos,1
maseca,2
prague,1
jugo,1
sec,1
patak,2
jiffy,3
jowl,3
pate,1
celtuce,1
kee,1
tortilla,5
sassafras,1
mixture,1
cattlemen,1
coleslaw,1
plums,2
feet,2
dogs,2
carton,5
casing,3
vietti,1
yellowtail,1
count,3
brand,1
sole,1
knee,1
bulbs,4
fatback,1
purity,1
mahi,2
garni,2
trimmings,1
rind,2
grinder,1
roughy,2
angle,1
saeujeot,1
whitefish,1
crab,3
lundberg,1
kiwifruit,1
plank,1
bangus,2
pompanos,1
kangkong,1
labanos,1
loaves,1
fronds,2
tentacles,2
bunch,1
g,2
scallion,1
catfish,1
walleye,1
maifun,1
pomelo,1
string,1
farmers,1
boil,3
cobs,1
andy,1
pears,10
octopus,2
mates,2
head,1
end,1
markets,1
corona,1
grapefruit,1
sweetener,2
catalina,5
tubes,1
vegenaise,1
haddock,1
colman,2
pearls,1
aioli,1
pom,1
jameson,1
candies,2
brushing,1
harissa,1
blender,1
bulgur,4
advieh,1
amani,1
panko,1
wrap,1
cooking,1
consomm,1
pato,1
directions,4
bell,1
plochman,1
bun,1
fashioned,1
breads,1
pizza,1
towels,1
necks,1
shapes,1
endive,2
kikkoman,3
herdez,2
tangerines,1
replacer,2
daniel,1
bags,1
grey,1
cornhusks,1
basics,1
pan,3
guajillo,1
blood,1
quinces,1
acid,1
dry,3
doubanjiang,1
watercress,2
veganaise,1
slaw,1
jalapeno,3
balance,6
kabocha,2
polenta,2
blocks,1
fungus,2
nostoc,1
tempeh,1
cremini,1
me,1
scape,1
whiz,2
stevia,1
patties,4
monte,3
wizard,1
monde,1
maytag,1
seasons,3
chevre,1
sargento,1
cow,2
crowns,1
pierogies,1
ragu,3
reduction,1
core,1
pet,1
pepitas,2
decoration,1
creme,1
persimmon,1
filling,2
bean,3
junket,1
pretzels,3
curds,1
loaf,1
cucmber,1
valley,1
kewpie,2
circles,2
dukkah,1
fresca,1
nf,1
roe,4
gris,1
splenda,3
brooks,1
crispix,1
marzetti,1
flats,1
wingettes,1
fine,5
fourths,1
sides,2
radicchio,1
papaya,2
granular,1
quark,1
oatmeal,1
coins,3
cheesecloth,2
venice,1
pastina,1
clam,1
penne,2
rabe,5
romano,1
arils,1
fruits,1
newman,1
besan,1
tarako,1
fettucine,1
top,3
angostura,1
locoto,1
louisiana,1
puy,1
flax,1
husk,1
asafoetida,7
dean,3
vegata,1
colors,1
hen,1
homestyle,1
way,1
chex,1
fuji,1
lopez,1
dream,1
raw,1
tteok,1
pilaf,1
maui,1
mackerel,1
crabs,5
tobiko,1
shop,2
dunya,1
bush,3
coors,1
pb,1
coloring,1
amaranth,1
bites,1
vegemite,1
ruffles,2
chunjang,1
nopalitos,1
tart,2
spike,1
flesh,1
length,1
fenugreek,1
crawfish,3
pioneer,1
aji,1
eyes,1
artichokes,1
granola,1
rapunzel,1
tin,1
browns,2
sixths,1
ribbons,1
utz,1
chowder,1
total,1
pastries,1
daiya,1
casserole,1
gherkins,2
tostadas,1
cheeses,1
bayr,1
cloth,1
toppings,1
refrigerator,1
toast,1
candy,1
gala,1
maple,1
bitters,1
house,1
confectioners,1
cress,1
finger,1
sel,1
stovetop,1
madeira,1
beaters,1
instructions,1
elk,1
need,1
paisano,1
jalapenos,1
oreo,1
brussels,1
grands,1
eckrich,2
ramyonsari,1
melts,1
fusilli,1
no,1
select,1
cavatelli,1
johnsonville,2
red,1
turban,1
smokies,1
quick,1
quahogs,1
daal,1
rajma,1
navy,1
pinch,2
glace,1
dahl,1
quorn,1
mill,1
cacao,1
pinnacle,1
wafers,1
chourico,1
paneer,1
serrano,1
alum,1
kamayan,1
masa,1
hatch,1
banza,1
succotash,1
cactus,1
wolf,1
plantains,1
epazote,1
chipotles,1
groats,3
rainbow,1
hummus,2
dukka,1
pearl,1
matoes,1
triangles,2
spiralizer,1
parma,1
sunchokes,1
discard,1
buttercup,1
squashes,1
organic,1
persimmons,1
cointreau,1
ida,1
maharaja,1
labneh,1
knuckle,1
gravlax,1
wing,1
hellmann,1
